Frequency (Hz)	Level (dB)
97.572327	-72.807510
97.908783	-67.729683
98.245239	-68.791161
98.581696	-70.004654
98.918152	-68.826767
99.254608	-66.222183
99.591064	-66.839653
99.927521	-71.841827
100.263977	-74.929329
100.600433	-73.873924
100.936890	-71.305229
101.273346	-72.061462
101.609802	-68.547668
101.946259	-70.490204
102.282715	-68.825104
102.619171	-65.784592
102.955627	-71.024734
103.292084	-69.444496
103.628540	-62.973988
103.964996	-66.081955
104.301453	-78.033752
104.637909	-74.801994
104.974365	-74.965431
105.310822	-76.246071
105.647278	-73.051826
105.983734	-74.580612
106.320190	-74.902412
106.656647	-77.025703
106.993103	-70.946297
107.329559	-71.661987
107.666016	-68.926773
108.002472	-68.406319
108.338928	-70.138336
108.675385	-72.171898
109.011841	-70.515343
109.348297	-69.796608
109.684753	-73.078972
110.021210	-73.093330
110.357666	-75.585564
110.694122	-78.071411
111.030579	-78.710175
111.367035	-72.722183
111.703491	-77.693558
112.039948	-73.283936
112.376404	-73.706490
112.712860	-74.162460
113.049316	-70.261101
113.385773	-70.682999
113.722229	-78.759415
114.058685	-74.514000
114.395142	-80.413902
114.731598	-76.523705
115.068054	-76.074188
115.404510	-72.565727
115.740967	-74.555069
116.077423	-75.462318
116.413879	-75.208733
116.750336	-78.938271
117.086792	-68.015518
117.423248	-69.199280
117.759705	-72.653732
118.096161	-72.470413
118.432617	-72.824280
118.769073	-74.924355
119.105530	-74.222267
119.441986	-74.555664
119.778442	-77.174973
120.114899	-76.137474
120.451355	-73.535980
120.787811	-72.747887
121.124268	-73.755615
121.460724	-74.609512
121.797180	-78.023628
122.133636	-74.173225
122.470093	-76.091026
122.806549	-72.215721
123.143005	-72.927925
123.479462	-71.590149
123.815918	-74.480743
124.152374	-76.935562
124.488831	-72.890259
124.825287	-73.479813
125.161743	-70.457108
125.498199	-69.527718
125.834656	-72.492912
126.171112	-76.062134
126.507568	-75.550926
126.844025	-75.829407
127.180481	-79.771431
127.516937	-79.670441
127.853394	-81.546890
128.189850	-78.757576
128.526306	-77.883438
128.862762	-76.242172
129.199219	-76.794670
129.535675	-74.676239
129.872131	-80.353554
130.208588	-78.904366
130.545044	-78.049408
130.881500	-81.044670
131.217957	-83.059013
131.554413	-83.367126
131.890869	-84.486099
132.227325	-79.294319
132.563782	-79.938866
132.900238	-81.546257
133.236694	-75.873039
133.573151	-74.030045
133.909607	-74.639587
134.246063	-81.812103
134.582520	-74.626617
134.918976	-75.952675
135.255432	-78.071480
135.591888	-77.521065
135.928345	-77.628601
136.264801	-83.480087
136.601257	-86.453812
136.937714	-81.235916
137.274170	-84.866943
137.610626	-95.275826
137.947083	-81.571297
138.283539	-75.505615
138.619995	-76.611916
138.956451	-74.004623
139.292908	-79.625519
139.629364	-81.261185
139.965820	-80.851860
140.302277	-80.571289
140.638733	-81.814468
140.975189	-82.402100
141.311646	-83.108231
141.648102	-79.283615
141.984558	-73.637428
142.321014	-75.553642
142.657471	-80.176201
142.993927	-81.197418
143.330383	-80.735535
143.666840	-83.152771
144.003296	-83.399834
144.339752	-82.591606
144.676208	-80.476883
145.012665	-84.747688
145.349121	-83.868149
145.685577	-85.629494
146.022034	-81.601326
146.358490	-80.105751
146.694946	-80.171333
147.031403	-79.977013
147.367859	-82.091690
147.704315	-81.436569
148.040771	-84.179970
148.377228	-77.999374
148.713684	-76.665321
149.050140	-77.636635
149.386597	-82.916756
149.723053	-82.724846
150.059509	-79.102272
150.395966	-77.411133
150.732422	-77.553482
151.068878	-80.165138
151.405334	-85.630028
151.741791	-82.422455
152.078247	-82.226532
152.414703	-79.032669
152.751160	-79.282349
153.087616	-80.526169
153.424072	-81.129128
153.760529	-80.014107
154.096985	-81.493423
154.433441	-78.363022
154.769897	-78.441940
155.106354	-79.955109
155.442810	-82.440750
155.779266	-80.078903
156.115723	-79.070885
156.452179	-83.248932
156.788635	-83.501595
157.125092	-83.217941
157.461548	-84.066811
157.798004	-85.584076
158.134460	-82.450050
158.470917	-83.604530
158.807373	-91.110191
159.143829	-84.757530
159.480286	-84.209846
159.816742	-87.174957
160.153198	-82.213036
160.489655	-80.220818
160.826111	-80.960129
161.162567	-83.130814
161.499023	-81.997437
161.835480	-85.402069
162.171936	-87.808525
162.508392	-82.229317
162.844849	-79.321617
163.181305	-83.512711
163.517761	-85.275894
163.854218	-84.740807
164.190674	-88.836426
164.527130	-82.556564
164.863586	-80.410881
165.200043	-84.933403
165.536499	-89.896408
165.872955	-84.287979
166.209412	-88.711960
166.545868	-84.906784
166.882324	-83.845581
167.218781	-80.267975
167.555237	-80.808952
167.891693	-86.401024
168.228149	-89.115578
168.564606	-84.540962
168.901062	-88.174988
169.237518	-85.398605
169.573975	-83.575874
169.910431	-84.420692
170.246887	-88.811394
170.583344	-92.945938
170.919800	-89.550354
171.256256	-84.361671
171.592712	-86.259636
171.929169	-83.158440
172.265625	-81.321037
172.602081	-83.279800
172.938538	-86.565269
173.274994	-84.724609
173.611450	-89.975143
173.947906	-93.539970
174.284363	-89.680252
174.620819	-85.357407
174.957275	-84.629204
175.293732	-86.574219
175.630188	-89.551979
175.966644	-85.985405
176.303101	-90.717293
